Recency,Frequency,MonetaryValue,RFM_Segment,ClusterLabel
326,1,77183.6,1.01.04.0,Regulars
2,182,4310.0,4.04.04.0,Champions
75,31,1797.24,2.02.04.0,Regulars
19,73,1757.55,3.03.04.0,Regulars
310,17,334.4,1.01.02.0,Dormant
36,85,2506.04,3.03.04.0,Regulars
204,4,89.0,1.01.01.0,Dormant
232,58,1079.4,1.03.03.0,Regulars
214,13,459.4,1.01.02.0,Dormant
23,59,2811.43,3.03.04.0,Champions
33,131,6207.67,3.04.04.0,Champions
2,19,1168.06,4.02.03.0,Regulars
58,248,6372.58,2.04.04.0,Champions
52,129,2662.06,2.04.04.0,Regulars
287,10,189.9,1.01.01.0,Dormant
3,266,5226.23,4.04.04.0,Champions
110,23,552.0,2.02.02.0,Dormant
8,85,1313.1,4.03.03.0,Champions
291,22,641.38,1.02.02.0,Dormant
4,11,168.9,4.01.01.0,Regulars
51,167,3545.69,3.04.04.0,Champions
45,63,1887.96,3.03.04.0,Regulars
72,52,1298.04,2.03.03.0,Regulars
311,14,364.6,1.01.02.0,Dormant
25,33,742.9300000000001,3.02.03.0,Regulars
11,17,457.5,4.01.02.0,Regulars
315,77,1628.12,1.03.03.0,Regulars
130,219,4008.62,2.04.04.0,Champions
82,40,852.24,2.02.03.0,Regulars
22,104,2724.81,3.04.04.0,Champions
5,87,1845.31,4.03.04.0,Champions
185,99,1850.56,1.03.04.0,Regulars
29,27,585.27,3.02.02.0,Regulars
338,10,401.9,1.01.02.0,Dormant
16,100,2780.66,4.03.04.0,Champions
80,32,549.84,2.02.02.0,Regulars
22,100,460.89,3.03.02.0,Regulars
72,64,1582.6000000000001,2.03.03.0,Regulars
64,27,1272.48,2.02.03.0,Regulars
19,156,3018.63,3.04.04.0,Champions
36,126,2409.9,3.04.04.0,Champions
46,85,1635.6599999999999,3.03.03.0,Regulars
119,59,1108.65,2.03.03.0,Regulars
303,5,84.3,1.01.01.0,Dormant
323,11,225.6,1.01.01.0,Dormant
50,5,427.7,3.01.02.0,Dormant
149,54,1710.39,1.03.04.0,Regulars
22,105,3415.3,3.04.04.0,Champions
50,77,1708.1200000000001,3.03.04.0,Regulars
33,105,2888.55,3.04.04.0,Champions
79,109,11072.67,2.04.04.0,Champions
309,26,693.3299999999999,1.02.03.0,Dormant
75,61,1226.88,2.03.03.0,Regulars
67,38,758.1,2.02.03.0,Regulars
217,18,562.41,1.02.02.0,Dormant
24,716,124914.53,3.04.04.0,Champions
3,192,3649.1,4.04.04.0,Champions
113,34,668.58,2.02.02.0,Regulars
64,29,600.39,2.02.02.0,Regulars
16,45,807.04,4.03.03.0,Regulars
96,39,803.5600000000001,2.02.03.0,Regulars
1,125,1859.31,4.04.04.0,Champions
163,30,1760.96,1.02.04.0,Regulars
78,36,777.2,2.02.03.0,Regulars
195,30,582.73,1.02.02.0,Dormant
22,31,825.8,3.02.03.0,Regulars
26,294,7956.46,3.04.04.0,Champions
9,97,3750.4,4.03.04.0,Champions
43,11,256.4,3.01.01.0,Dormant
36,236,6487.45,3.04.04.0,Champions
43,108,5059.32,3.04.04.0,Champions
1,420,13375.87,4.04.04.0,Champions
85,50,806.14,2.03.03.0,Regulars
80,36,7829.89,2.02.04.0,Regulars
100,16,509.01,2.01.02.0,Dormant
2,200,4951.41,4.04.04.0,Champions
14,98,2906.85,4.03.04.0,Champions
367,11,173.55,1.01.01.0,Dormant
3,12,172.06,4.01.01.0,Regulars
21,177,5005.46,3.04.04.0,Champions
22,4,133.4,3.01.01.0,Dormant
58,58,1002.3100000000001,2.03.03.0,Regulars
243,26,476.49,1.02.02.0,Dormant
44,22,449.45,3.02.02.0,Regulars
22,191,4067.29,3.04.04.0,Champions
156,8,197.88,1.01.01.0,Dormant
11,354,9035.52,4.04.04.0,Champions
17,22,430.57,4.02.02.0,Regulars
134,43,707.09,2.03.03.0,Regulars
56,15,3528.34,2.01.04.0,Regulars
73,90,2466.86,2.03.04.0,Regulars
44,125,3181.04,3.04.04.0,Champions
66,63,2363.23,2.03.04.0,Regulars
71,38,947.4,2.02.03.0,Regulars
94,35,826.88,2.02.03.0,Regulars
19,62,1189.59,3.03.03.0,Regulars
53,83,1344.78,2.03.03.0,Regulars
10,29,1212.05,4.02.03.0,Regulars
17,47,742.1899999999999,4.03.03.0,Regulars
188,38,729.5400000000001,1.02.03.0,Regulars
2,460,19824.05,4.04.04.0,Champions
32,339,6572.11,3.04.04.0,Champions
29,168,3938.5499999999997,3.04.04.0,Champions
17,424,7375.79,4.04.04.0,Champions
54,36,723.38,2.02.03.0,Regulars
16,233,6816.42,4.04.04.0,Champions
23,300,13219.74,3.04.04.0,Champions
4,36,680.99,4.02.03.0,Regulars
11,31,527.2,4.02.02.0,Regulars
28,154,3281.63,3.04.04.0,Champions
23,217,5596.32,3.04.04.0,Champions
17,75,2484.98,4.03.04.0,Champions
33,346,4541.72,3.04.04.0,Champions
10,55,1298.66,4.03.03.0,Regulars
336,15,334.93,1.01.02.0,Dormant
5,245,5417.93,4.04.04.0,Champions
39,26,460.40000000000003,3.02.02.0,Regulars
63,20,263.21000000000004,2.02.01.0,Dormant
166,22,433.74,1.02.02.0,Dormant
16,77,1246.1000000000001,4.03.03.0,Regulars
82,14,1043.1,2.01.03.0,Regulars
21,23,403.70000000000005,3.02.02.0,Regulars
23,61,4257.82,3.03.04.0,Champions
337,149,2169.39,1.04.04.0,Regulars
96,147,3723.87,2.04.04.0,Regulars
18,9,482.04999999999995,4.01.02.0,Regulars
233,23,73.5,1.02.01.0,Dormant
134,22,1304.81,2.02.03.0,Regulars
26,69,398.27,3.03.02.0,Regulars
284,7,176.5,1.01.01.0,Dormant
143,33,982.5699999999999,1.02.03.0,Regulars
66,34,138.03,2.02.01.0,Dormant
113,35,612.29,2.02.02.0,Regulars
267,51,1017.68,1.03.03.0,Regulars
353,16,383.7,1.01.02.0,Dormant
78,26,1312.06,2.02.03.0,Regulars
28,284,2502.84,3.04.04.0,Champions
1,124,2056.89,4.04.04.0,Champions
64,18,340.84,2.02.02.0,Dormant
79,152,2634.26,2.04.04.0,Regulars
143,38,599.68,1.02.02.0,Regulars
39,12,192.72,3.01.01.0,Dormant
19,106,1789.77,3.04.04.0,Champions
9,144,4485.72,4.04.04.0,Champions
1,71,1316.66,4.03.03.0,Champions
82,18,348.71000000000004,2.02.02.0,Dormant
9,92,1933.48,4.03.04.0,Champions
60,66,1662.28,2.03.04.0,Regulars
15,17,125.22,4.01.01.0,Dormant
30,16,349.83000000000004,3.01.02.0,Regulars
131,63,1089.18,2.03.03.0,Regulars
92,34,716.35,2.02.03.0,Regulars
43,261,12601.830000000002,3.04.04.0,Champions
29,21,363.95,3.02.02.0,Regulars
22,273,5568.35,3.04.04.0,Champions
20,478,13400.24,3.04.04.0,Champions
30,52,981.18,3.03.03.0,Regulars
36,19,372.7,3.02.02.0,Regulars
75,50,1000.39,2.03.03.0,Regulars
47,69,1161.5,3.03.03.0,Regulars
198,8,207.79999999999998,1.01.01.0,Dormant
166,5,95.19999999999999,1.01.01.0,Dormant
79,57,964.83,2.03.03.0,Regulars
358,10,168.0,1.01.01.0,Dormant
39,20,437.82,3.02.02.0,Regulars
8,191,3692.28,4.04.04.0,Champions
50,121,603.71,3.04.02.0,Regulars
16,33,11990.960000000001,4.02.04.0,Champions
8,11,269.96,4.01.01.0,Regulars
311,21,561.71,1.02.02.0,Dormant
5,105,2134.01,4.04.04.0,Champions
303,16,238.85,1.01.01.0,Dormant
8,168,3781.7400000000002,4.04.04.0,Champions
261,21,456.9,1.02.02.0,Dormant
289,9,145.92,1.01.01.0,Dormant
86,19,351.65,2.02.02.0,Dormant
23,446,9401.28,3.04.04.0,Champions
2,188,4124.69,4.04.04.0,Champions
40,34,519.61,3.02.02.0,Regulars
9,60,1020.42,4.03.03.0,Regulars
227,28,160.54000000000002,1.02.01.0,Dormant
316,11,218.45,1.01.01.0,Dormant
36,88,1315.83,3.03.03.0,Regulars
35,147,657.8,3.04.02.0,Regulars
21,114,2794.51,3.04.04.0,Champions
78,29,440.42,2.02.02.0,Regulars
247,24,415.7,1.02.02.0,Dormant
40,15,197.71,3.01.01.0,Dormant
239,22,511.36,1.02.02.0,Dormant
3,247,7281.38,4.04.04.0,Champions
4,96,2338.15,4.03.04.0,Champions
234,87,2040.1,1.03.04.0,Regulars
17,11,196.94000000000003,4.01.01.0,Dormant
8,4,144.0,4.01.01.0,Dormant
39,10,214.89999999999998,3.01.01.0,Dormant
29,35,646.68,3.02.02.0,Regulars
211,68,9864.26,1.03.04.0,Regulars
317,26,452.84999999999997,1.02.02.0,Dormant
92,18,437.6,2.02.02.0,Dormant
109,21,418.09999999999997,2.02.02.0,Dormant
38,118,3338.2200000000003,3.04.04.0,Champions
51,27,618.27,3.02.02.0,Regulars
19,206,3811.22,3.04.04.0,Champions
10,132,3023.08,4.04.04.0,Champions
29,62,1032.58,3.03.03.0,Regulars
29,64,2599.04,3.03.04.0,Regulars
190,28,577.0600000000001,1.02.02.0,Dormant
59,12,153.12,2.01.01.0,Dormant
22,3,739.1999999999999,3.01.03.0,Dormant
79,16,254.18,2.01.01.0,Dormant
60,101,1579.51,2.04.03.0,Regulars
78,60,1126.85,2.03.03.0,Regulars
23,106,2099.54,3.04.04.0,Champions
52,65,1193.32,2.03.03.0,Regulars
74,19,704.0400000000001,2.02.03.0,Regulars
57,153,3344.38,2.04.04.0,Champions
278,20,315.6,1.02.02.0,Dormant
2,105,2291.19,4.04.04.0,Champions
95,32,713.3,2.02.03.0,Regulars
29,42,355.53,3.03.02.0,Regulars
22,11,177.31,3.01.01.0,Dormant
16,90,3641.24,4.03.04.0,Champions
15,92,1339.41,4.03.03.0,Champions
2,467,13689.67,4.04.04.0,Champions
232,11,180.1,1.01.01.0,Dormant
276,18,305.1,1.02.01.0,Dormant
106,38,641.13,2.02.02.0,Regulars
212,86,2683.82,1.03.04.0,Regulars
23,294,6620.48,3.04.04.0,Champions
11,230,4478.53,4.04.04.0,Champions
4,41,786.46,4.02.03.0,Regulars
10,64,1270.88,4.03.03.0,Regulars
57,31,640.5,2.02.02.0,Regulars
59,101,2163.98,2.04.04.0,Regulars
90,101,1689.18,2.04.04.0,Regulars
67,390,6021.9,2.04.04.0,Champions
33,39,671.69,3.02.02.0,Regulars
239,22,486.1,1.02.02.0,Dormant
24,53,1174.58,3.03.03.0,Regulars
115,10,185.9,2.01.01.0,Dormant
25,47,1013.26,3.03.03.0,Regulars
128,24,3344.64,2.02.04.0,Regulars
130,31,477.91,2.02.02.0,Dormant
34,73,1775.18,3.03.04.0,Regulars
5,45,1346.97,4.03.03.0,Champions
22,122,3722.82,3.04.04.0,Champions
155,21,318.05,1.02.02.0,Dormant
107,31,623.51,2.02.02.0,Regulars
3,20,314.44,4.02.02.0,Regulars
335,9,114.0,1.01.01.0,Dormant
331,48,919.98,1.03.03.0,Regulars
149,43,2209.85,1.03.04.0,Regulars
11,38,601.98,4.02.02.0,Regulars
17,126,4051.17,4.04.04.0,Champions
11,47,1643.18,4.03.03.0,Regulars
19,36,686.05,3.02.03.0,Regulars
30,5,91.68,3.01.01.0,Dormant
11,13,245.1,4.01.01.0,Regulars
1,230,3849.78,4.04.04.0,Champions
8,37,4881.88,4.02.04.0,Champions
325,3,63.0,1.01.01.0,Dormant
58,33,620.13,2.02.02.0,Regulars
12,161,3807.15,4.04.04.0,Champions
151,101,2744.0299999999997,1.04.04.0,Regulars
10,92,2996.05,4.03.04.0,Champions
330,10,225.89999999999998,1.01.01.0,Dormant
5,42,610.52,4.03.02.0,Regulars
39,83,1970.6,3.03.04.0,Regulars
25,45,1331.39,3.03.03.0,Regulars
42,165,17628.46,3.04.04.0,Champions
59,48,1113.02,2.03.03.0,Regulars
1,52,862.81,4.03.03.0,Champions
15,638,13787.54,4.04.04.0,Champions
4,525,12288.22,4.04.04.0,Champions
4,344,8476.57,4.04.04.0,Champions
8,105,2283.63,4.04.04.0,Champions
28,157,2863.08,3.04.04.0,Champions
372,7,89.14,1.01.01.0,Dormant
114,171,4873.8099999999995,2.04.04.0,Champions
26,72,1247.61,3.03.03.0,Regulars
206,16,389.01,1.01.02.0,Dormant
28,32,1035.8,3.02.03.0,Regulars
127,39,855.91,2.02.03.0,Regulars
70,37,869.67,2.02.03.0,Regulars
7,27,582.1,4.02.02.0,Regulars
29,41,957.59,3.02.03.0,Regulars
8,268,4939.99,4.04.04.0,Champions
80,53,797.71,2.03.03.0,Regulars
20,12,219.0,3.01.01.0,Dormant
71,21,283.55,2.02.01.0,Dormant
7,88,2340.84,4.03.04.0,Champions
15,334,6868.29,4.04.04.0,Champions
292,33,603.42,1.02.02.0,Dormant
30,157,2712.91,3.04.04.0,Champions
15,208,9736.52,4.04.04.0,Champions
97,77,1149.02,2.03.03.0,Regulars
29,133,4396.13,3.04.04.0,Champions
1,38,848.55,4.02.03.0,Champions
9,259,4708.86,4.04.04.0,Champions
106,21,353.86,2.02.02.0,Dormant
4,69,1053.49,4.03.03.0,Champions
151,55,1030.98,1.03.03.0,Regulars
71,19,238.25,2.02.01.0,Dormant
5,39,644.95,4.02.02.0,Regulars
3,354,5781.73,4.04.04.0,Champions
32,161,2656.13,3.04.04.0,Champions
85,53,997.63,2.03.03.0,Regulars
4,69,725.07,4.03.03.0,Champions
5,53,1031.41,4.03.03.0,Champions
371,24,427.8,1.02.02.0,Dormant
28,124,2609.1,3.04.04.0,Champions
11,139,3980.7,4.04.04.0,Champions
71,46,836.33,2.03.03.0,Regulars
114,26,453.01,2.02.02.0,Dormant
24,274,18895.91,3.04.04.0,Champions
180,12,236.26000000000002,1.01.01.0,Dormant
234,22,383.95,1.02.02.0,Dormant
353,4,110.39999999999999,1.01.01.0,Dormant
315,43,779.5699999999999,1.03.03.0,Regulars
333,4,234.0,1.01.01.0,Dormant
372,11,155.35,1.01.01.0,Dormant
78,38,1013.04,2.02.03.0,Regulars
64,27,427.6,2.02.02.0,Regulars
134,134,546.43,2.04.02.0,Regulars
52,222,21279.29,2.04.04.0,Champions
2,103,4196.01,4.04.04.0,Champions
1,4596,33719.73,4.04.04.0,Champions
4,199,4090.88,4.04.04.0,Champions
129,15,275.88,2.01.01.0,Dormant
81,53,4366.78,2.03.04.0,Regulars
23,197,21429.39,3.04.04.0,Champions
236,63,3010.74,1.03.04.0,Regulars
281,4,3811.95,1.01.04.0,Dormant
