Recency,Frequency,MonetaryValue,R,F,M,RFM_Segment,RFM_Score
1,134968,1447682.1199999999,4,4,4,444,12
326,2,0.0,1,1,1,111,3
2,182,4310.0,4,4,4,444,12
75,31,1797.24,2,2,4,224,8
19,73,1757.55,3,3,4,334,10
310,17,334.4,1,1,2,112,4
36,95,1545.41,3,3,3,333,9
204,4,89.0,1,1,1,111,3
232,58,1079.4,1,3,3,133,7
214,13,459.4,1,1,2,112,4
23,59,2811.43,3,3,4,334,10
33,131,6207.67,3,4,4,344,11
2,19,1168.06,4,2,3,423,9
8,254,6245.53,4,4,4,444,12
52,129,2662.06,2,4,4,244,10
287,10,189.9,1,1,1,111,3
3,274,5154.58,4,4,4,444,12
110,23,552.0,2,2,2,222,6
8,85,1313.1,4,3,3,433,10
291,23,320.69,1,2,2,122,5
4,11,168.9,4,1,1,411,6
51,167,3545.69,2,4,4,244,10
45,63,1887.96,3,3,4,334,10
72,52,1298.04,2,3,3,233,8
311,14,364.6,1,1,2,112,4
25,33,742.9300000000001,3,2,3,323,8
3,18,455.42,4,2,2,422,8
315,77,1628.12,1,3,4,134,8
130,219,4008.62,2,4,4,244,10
82,41,850.29,2,2,3,223,7
22,105,2720.56,3,4,4,344,11
5,91,1803.96,4,3,4,434,11
185,100,1839.31,1,3,4,134,8
29,30,566.16,3,2,2,322,7
338,10,401.9,1,1,2,112,4
16,100,2780.66,4,3,4,434,11
80,32,549.84,2,2,2,222,6
22,100,460.89,3,3,2,332,8
72,64,1582.6000000000001,2,3,3,233,8
64,27,1272.48,2,2,3,223,7
16,159,2998.28,4,4,4,444,12
36,126,2409.9,3,4,4,344,11
46,85,1635.6599999999999,3,3,4,334,10
119,59,1108.65,2,3,3,233,8
303,5,84.3,1,1,1,111,3
323,11,225.6,1,1,1,111,3
50,6,409.7,3,1,2,312,6
149,54,1710.39,1,3,4,134,8
22,108,3280.75,3,4,4,344,11
50,77,1708.1200000000001,3,3,4,334,10
33,113,2842.57,3,4,4,344,11
79,114,11056.93,2,4,4,244,10
301,28,681.0799999999999,1,2,3,123,6
75,61,1226.88,2,3,3,233,8
67,40,694.15,2,2,3,223,7
217,18,562.41,1,2,2,122,5
24,778,123725.45,3,4,4,344,11
3,198,3578.8,4,4,4,444,12
113,34,668.58,2,2,3,223,7
64,29,600.39,2,2,2,222,6
16,46,806.27,4,3,3,433,10
96,39,803.5600000000001,2,2,3,223,7
1,126,1849.11,4,4,4,444,12
163,30,1760.96,1,2,4,124,7
78,36,777.2,2,2,3,223,7
195,30,582.73,1,2,2,122,5
12,35,708.37,4,2,3,423,9
26,300,7877.2,3,4,4,344,11
9,97,3750.4,4,3,4,434,11
43,11,256.4,3,1,1,311,5
36,240,6416.39,3,4,4,344,11
43,108,5059.32,3,4,4,344,11
1,420,13375.87,4,4,4,444,12
85,54,765.19,2,3,3,233,8
80,36,7829.89,2,2,4,224,8
100,16,509.01,2,1,2,212,5
2,201,4896.66,4,4,4,444,12
14,98,2906.85,4,3,4,434,11
367,11,173.55,1,1,1,111,3
3,12,172.06,4,1,1,411,6
21,177,5005.46,3,4,4,344,11
22,4,133.4,3,1,1,311,5
58,58,1002.3100000000001,2,3,3,233,8
243,26,476.49,1,2,2,122,5
44,22,449.45,3,2,2,322,7
22,191,4067.29,3,4,4,344,11
156,8,197.88,1,1,1,111,3
11,355,8933.52,4,4,4,444,12
17,23,428.57,4,2,2,422,8
134,43,707.09,2,3,3,233,8
53,30,5.684341886080802e-14,2,2,1,221,5
73,90,2466.86,2,3,4,234,9
44,129,3153.89,3,4,4,344,11
58,68,1917.78,2,3,4,234,9
71,38,947.4,2,2,3,223,7
94,35,826.88,2,2,3,223,7
2,72,1124.01,4,3,3,433,10
46,88,1303.63,3,3,3,333,9
10,29,1212.05,4,2,3,423,9
8,51,733.89,4,3,3,433,10
143,40,724.0400000000001,2,2,3,223,7
2,531,18740.92,4,4,4,444,12
31,391,6229.48,3,4,4,344,11
29,179,2848.23,3,4,4,344,11
17,457,7116.47,4,4,4,444,12
54,36,723.38,2,2,3,223,7
1,264,6546.58,4,4,4,444,12
23,308,13117.01,3,4,4,344,11
4,36,680.99,4,2,3,423,9
4,35,477.3,4,2,2,422,8
28,154,3281.63,3,4,4,344,11
23,218,5590.86,3,4,4,344,11
17,81,2327.13,4,3,4,434,11
33,350,4495.27,3,4,4,344,11
10,55,1298.66,4,3,3,433,10
336,15,334.93,1,1,2,112,4
5,245,5417.93,4,4,4,444,12
39,26,460.40000000000003,3,2,2,322,7
63,20,263.21000000000004,2,2,1,221,5
166,23,416.79,1,2,2,122,5
10,84,1139.3500000000001,4,3,3,433,10
82,14,1043.1,2,1,3,213,6
21,23,403.70000000000005,3,2,2,322,7
23,65,4206.27,3,3,4,334,10
315,160,2089.68,1,4,4,144,9
96,147,3723.87,2,4,4,244,10
338,1,-1126.0,1,1,1,111,3
18,15,114.0,3,1,1,311,5
301,1,-4.5,1,1,1,111,3
233,23,73.5,1,2,1,121,4
134,23,1258.06,2,2,3,223,7
26,69,398.27,3,3,2,332,8
284,7,176.5,1,1,1,111,3
143,33,982.5699999999999,2,2,3,223,7
66,34,138.03,2,2,1,221,5
85,36,586.79,2,2,2,222,6
267,51,1017.68,1,3,3,133,7
353,16,383.7,1,1,2,112,4
78,26,1312.06,2,2,3,223,7
